num_tasks,runtime_rank
48,3.693965
48,3.694621
48,3.695086
48,3.695199
48,3.694493
48,3.695790
48,3.696528
48,3.696334
48,3.697168
48,3.696836
48,3.697556
48,3.697750
48,3.698431
48,3.698825
48,3.698933
48,3.699592
48,3.693257
48,3.700124
48,3.700133
48,3.695701
48,3.700723
48,3.701339
48,3.701161
48,3.702099
48,3.699415
48,3.702674
48,3.702648
48,3.701960
48,3.700613
48,3.698210
48,3.691984
48,3.685989
48,3.691045
96,2.650961
96,2.651475
96,2.651324
96,2.650761
96,2.651590
96,2.652055
96,2.651752
96,2.652225
96,2.652611
96,2.652987
96,2.652756
96,2.653305
96,2.652349
96,2.678950
96,2.678979
96,2.678886
96,2.779562
96,2.779462
96,2.779381
96,2.779612
96,2.779577
96,2.779549
96,2.779412
96,2.779599
96,2.779548
96,2.779762
96,2.779546
96,2.779330
96,2.779642
96,2.779298
96,2.779469
96,2.779410
96,2.779502
96,2.779334
96,2.779482
96,2.779548
96,2.678930
96,2.779435
96,2.779616
96,2.779495
96,2.779305
96,2.653197
96,2.651351
96,2.779590
96,2.849320
96,2.880012
96,2.879991
96,2.879857
96,2.880053
96,2.880015
96,2.880016
96,2.879858
96,2.880182
96,2.879866
96,2.880020
96,2.879806
96,2.880038
96,2.880184
96,2.879810
96,2.880174
96,2.879989
96,2.879681
96,2.880047
96,2.779290
96,2.880100
96,2.879722
96,2.880111
96,2.879686
96,2.880109
96,2.880044
96,2.880193
96,2.880042
96,2.879783
96,2.879669
96,2.779467
96,2.880045
96,2.880051
96,2.879906
96,2.678986
96,2.885274
96,2.885504
96,2.885326
96,2.880112
96,2.885203
96,2.885342
96,2.885155
96,2.885567
96,2.889926
96,2.891495
96,2.894738
96,2.885404
96,2.901014
96,2.894528
96,2.885419
96,2.901974
96,2.895732
2,54.598135
2,54.579325
6,23.116428
6,23.118791
6,23.121186
6,23.123597
6,23.125931
6,23.107154
12,11.990787
12,11.992103
12,11.993416
12,11.995656
12,11.997842
12,11.994458
12,11.996695
12,12.000240
12,12.002711
12,11.998952
12,12.001436
12,11.985463
24,6.327523
24,6.328071
24,6.328648
24,6.329759
24,6.329233
24,6.330378
24,6.331038
24,6.332225
24,6.332777
24,6.333367
24,6.334387
24,6.335389
24,6.334965
24,6.336791
24,6.337995
24,6.337365
24,6.339118
24,6.340336
24,6.339830
24,6.336117
24,6.338592
24,6.333650
24,6.314147
24,6.331556
48,3.692821
48,3.705270
48,3.705569
48,3.706129
48,3.706630
48,3.705900
48,3.706438
48,3.707328
48,3.707820
48,3.707656
48,3.708138
48,3.708730
48,3.708547
48,3.709466
48,3.710003
48,3.709571
48,3.710629
48,3.711093
48,3.711314
48,3.710336
48,3.712171
48,3.712745
48,3.712641
48,3.713365
48,3.714004
48,3.713935
48,3.713198
48,3.714680
48,3.715181
48,3.715322
48,3.711945
48,3.709085
48,3.715921
48,3.716533
48,3.716272
48,3.717168
48,3.717797
48,3.717772
48,3.718437
48,3.715886
48,3.718241
48,3.718846
48,3.719132
48,3.714572
48,3.717099
48,3.707626
48,3.693358
48,3.707071
96,2.666888
96,2.667279
96,2.667007
96,2.666698
96,2.667563
96,2.668113
96,2.668206
96,2.667788
96,2.668212
96,2.668611
96,2.668617
96,2.668971
96,2.668155
96,2.671732
96,2.671740
96,2.669587
96,2.772256
96,2.772174
96,2.772423
96,2.772287
96,2.772414
96,2.772196
96,2.772251
96,2.772280
96,2.772355
96,2.772339
96,2.772229
96,2.772338
96,2.668860
96,2.667391
96,2.864917
96,2.772400
96,2.872598
96,2.872782
96,2.772125
96,2.872653
96,2.872846
96,2.872684
96,2.872843
96,2.772240
96,2.872672
96,2.872748
96,2.872685
96,2.872731
96,2.872730
96,2.872673
96,2.872811
96,2.872674
96,2.872628
96,2.772211
96,2.872856
96,2.872823
96,2.872672
96,2.872545
96,2.872735
96,2.872686
96,2.872682
96,2.872809
96,2.872952
96,2.872875
96,2.871755
96,2.872682
96,2.872559
96,2.872817
96,2.872957
96,2.872880
96,2.872803
96,2.872790
96,2.872721
96,2.872803
96,2.872690
96,2.872852
96,2.872714
96,2.872591
96,2.872757
96,2.872601
96,2.872565
96,2.872810
96,2.872809
96,2.872859
96,2.901009
96,2.901155
96,2.901135
96,2.900945
96,2.900981
96,2.900925
96,2.901304
96,2.905608
96,2.907086
96,2.910070
96,2.901189
96,2.917167
96,2.917483
96,2.910624
96,2.901223
96,2.902746
